device_id,provider,manufacturer,model,android_version,sdk,abi,ram,screen,resolution,dpi,test_suite,test_id,status,duration,crashes,anr,logs,screenshots,video,timestamp,apk_sha256,blocker
,Firebase Test Lab,,,,,,,,,,preflight,provider_prerequisite,BLOCKED,,,,,,,2026-08-26T10:21:10.963824+00:00,0c365d2e4f68bc4e88c7ceb7c3708eeb3c376f9dfb76debcd24c9f21c67a87d3,GOOGLE_CLOUD_PROJECT or GCLOUD_PROJECT is not set
,AWS Device Farm,,,,,,,,,,preflight,provider_prerequisite,BLOCKED,,,,,,,2026-08-26T10:21:10.963824+00:00,0c365d2e4f68bc4e88c7ceb7c3708eeb3c376f9dfb76debcd24c9f21c67a87d3,"missing environment variables: AWS_ACCESS_KEY_ID, AWS_SECRET_ACCESS_KEY, AWS_DEFAULT_REGION, AWS_DEVICE_FARM_PROJECT_ARN, AWS_DEVICE_FARM_DEVICE_POOL_ARN"
,BrowserStack Real Device Cloud,,,,,,,,,,preflight,provider_prerequisite,BLOCKED,,,,,,,2026-08-26T10:21:10.963824+00:00,0c365d2e4f68bc4e88c7ceb7c3708eeb3c376f9dfb76debcd24c9f21c67a87d3,"missing environment variables: BROWSERSTACK_USERNAME, BROWSERSTACK_ACCESS_KEY"
