device_id,provider,manufacturer,model,android_version,sdk,abi,ram,screen,resolution,dpi,test_suite,test_id,status,duration,crashes,anr,logs,screenshots,video,timestamp,apk_sha256,blocker
,Firebase Test Lab,,,,,,,,,,preflight,provider_prerequisite,BLOCKED,,,,,,,2026-08-27T14:36:09.646599+00:00,277e87c5534cce6f45431a80b01a75a31b96b3aa2d774953aa18abee71001c4f,"missing prerequisite: GOOGLE_CLOUD_PROJECT or GCLOUD_PROJECT, active gcloud account or GOOGLE_APPLICATION_CREDENTIALS"
,AWS Device Farm,,,,,,,,,,preflight,provider_prerequisite,BLOCKED,,,,,,,2026-08-27T14:36:09.646599+00:00,277e87c5534cce6f45431a80b01a75a31b96b3aa2d774953aa18abee71001c4f,"missing prerequisite: AWS_ACCESS_KEY_ID, AWS_SECRET_ACCESS_KEY, AWS_DEFAULT_REGION, AWS_DEVICE_FARM_PROJECT_ARN, AWS_DEVICE_FARM_DEVICE_POOL_ARN"
,BrowserStack Real Device Cloud,,,,,,,,,,preflight,provider_prerequisite,BLOCKED,,,,,,,2026-08-27T14:36:09.646599+00:00,277e87c5534cce6f45431a80b01a75a31b96b3aa2d774953aa18abee71001c4f,"missing prerequisite: BROWSERSTACK_USERNAME, BROWSERSTACK_ACCESS_KEY, BROWSERSTACK_APPIUM_SERVER_URL"
,Kobiton Real Device Cloud,,,,,,,,,,preflight,provider_prerequisite,BLOCKED,,,,,,,2026-08-27T14:36:09.646599+00:00,277e87c5534cce6f45431a80b01a75a31b96b3aa2d774953aa18abee71001c4f,"missing prerequisite: KOBITON_USERNAME, KOBITON_API_KEY, KOBITON_APPIUM_SERVER_URL"
,Sauce Labs Real Device Cloud,,,,,,,,,,preflight,provider_prerequisite,BLOCKED,,,,,,,2026-08-27T14:36:09.646599+00:00,277e87c5534cce6f45431a80b01a75a31b96b3aa2d774953aa18abee71001c4f,"missing prerequisite: SAUCE_USERNAME, SAUCE_ACCESS_KEY, SAUCE_APPIUM_SERVER_URL"
,Perfecto Real Device Cloud,,,,,,,,,,preflight,provider_prerequisite,BLOCKED,,,,,,,2026-08-27T14:36:09.646599+00:00,277e87c5534cce6f45431a80b01a75a31b96b3aa2d774953aa18abee71001c4f,"missing prerequisite: PERFECTO_CLOUD_NAME, PERFECTO_SECURITY_TOKEN"
